Linting Errors Summary:
=======================

E:\hackathon\theo-code\fix-all-errors-globally.cjs: 4 errors
E:\hackathon\theo-code\fix-all-parsing-errors.cjs: 3 errors
E:\hackathon\theo-code\fix-auth-arbitraries.cjs: 2 errors
E:\hackathon\theo-code\fix-auth-property-tests.cjs: 2 errors
E:\hackathon\theo-code\fix-linting-issues.js: 5 errors
E:\hackathon\theo-code\fix-naming-globally-v2.cjs: 2 errors
E:\hackathon\theo-code\fix-naming-globally-v3.cjs: 4 errors
E:\hackathon\theo-code\fix-naming-globally-v4.cjs: 1 errors
E:\hackathon\theo-code\fix-naming-globally-v5.cjs: 1 errors
E:\hackathon\theo-code\fix-naming-globally-v6.cjs: 2 errors
E:\hackathon\theo-code\fix-naming-globally-v7.cjs: 2 errors
E:\hackathon\theo-code\fix-naming-globally.cjs: 2 errors
E:\hackathon\theo-code\fix-parsing-errors.cjs: 2 errors
E:\hackathon\theo-code\fix-remaining-parsing-errors.cjs: 2 errors
E:\hackathon\theo-code\fix-remaining-syntax.cjs: 5 errors
E:\hackathon\theo-code\fix-syntax-errors.cjs: 6 errors
E:\hackathon\theo-code\fix-test-underscores-2.cjs: 2 errors
E:\hackathon\theo-code\fix-test-underscores.cjs: 2 errors
E:\hackathon\theo-code\fix-token-normalization-test.cjs: 2 errors
E:\hackathon\theo-code\scripts\cleanup-migration-backups.js: 1 errors
E:\hackathon\theo-code\src\app.tsx: 26 errors
E:\hackathon\theo-code\src\config\__tests__\provider-config.test.ts: 4 errors
E:\hackathon\theo-code\src\config\__tests__\provider-switching.integration.test.ts: 5 errors
E:\hackathon\theo-code\src\config\loader.ts: 34 errors
E:\hackathon\theo-code\src\features\agent\loop.ts: 1 errors
E:\hackathon\theo-code\src\features\auth\__tests__\authentication-fallback.property.test.ts: 7 errors
E:\hackathon\theo-code\src\features\auth\__tests__\authentication-priority.property.test.ts: 21 errors
E:\hackathon\theo-code\src\features\auth\__tests__\automatic-token-refresh.property.test.ts: 16 errors
E:\hackathon\theo-code\src\features\auth\__tests__\browser-launcher.test.ts: 11 errors
E:\hackathon\theo-code\src\features\auth\__tests__\callback-server.test.ts: 12 errors
E:\hackathon\theo-code\src\features\auth\__tests__\oauth-command-integration.test.ts: 7 errors
E:\hackathon\theo-code\src\features\auth\__tests__\oauth-configuration-integration.test.ts: 40 errors
E:\hackathon\theo-code\src\features\auth\__tests__\oauth-configuration.property.test.ts: 25 errors
E:\hackathon\theo-code\src\features\auth\__tests__\oauth-provider-integration.test.ts: 11 errors
E:\hackathon\theo-code\src\features\auth\__tests__\pkce-generator.property.test.ts: 3 errors
E:\hackathon\theo-code\src\features\auth\__tests__\secure-display-formatting.property.test.ts: 21 errors
E:\hackathon\theo-code\src\features\auth\__tests__\token-exchange.property.test.ts: 24 errors
E:\hackathon\theo-code\src\features\auth\__tests__\token-response-normalization.property.test.ts: 13 errors
E:\hackathon\theo-code\src\features\auth\__tests__\token-security.property.test.ts: 13 errors
E:\hackathon\theo-code\src\features\auth\authentication-manager.ts: 22 errors
E:\hackathon\theo-code\src\features\auth\browser-launcher.ts: 2 errors
E:\hackathon\theo-code\src\features\auth\callback-server.ts: 15 errors
